在这个家太难了，我夹着体温计测发烧退了没，还要被叫着去扫地，然后倒垃圾,-1
一直都相信中医,1
【#元宵节#名称的由来】正月是农历的元月，古人称“夜”为“宵”，正月十五日是一年中第一个月圆之夜，所以称正月十五为“元宵节”。希望在这月圆之夜，大家都能平安顺遂，节后需要#春运#返程复工的每一个你也都喜乐安康#春节#,1
#湖北司机被困高速一周#这可能不是个例，给点重视吧！隔离措施不能一刀切，湖北人不是原罪，不要让疫情伤人又伤心。#新冠肺炎有粪口传播的可能##友情#,-1
可防可控是指“戴口罩勤洗手常通风”可以预防的，不可防不可控那大家就等死吧…,0
哈哈哈哈哈哈哈哈没错,1
驴这首词是想告诉所有女孩，不要惧怕黑暗，知道哪里有黑暗，才能找到光【不要随便对立阴谋论的跳脚……,-1
还不是上面某些老爷胡闹，害得基层背锅，还有脸宣传？,-1
生活需要往前看，不能恋旧微博视频,0
真让人担心。,-1
曾经总是被偶然的邂逅击中，#朴彩英身材#仿佛爱情是永不回头的赌。但慢慢发现越爱越累，到最后缺的总是一个拥抱。我发烧了——多喝点水就好了；大姨妈来了——多喝点水就好了；我喝多了——多喝点水就好了；我嗓子疼——多喝点水就好了；今天好冷——多喝点水就好了；我不开心——多喝点水,-1
通过高福和石正丽两位院士的事件，李文亮医生事件，再结合自己身边发生的事。发现中国是能者不能上，庸者上。在更高的层面还是有正能量的，有清流的。比如李兰娟和钟南山两位院士。2临汾,0
『全国新型肺炎疫情实时动态-丁香园·丁香医生』O网页链接,0
#防控肺炎父母不听劝怎么办#我可真的太绝望了明天跟他们俩商量讲讲别去姥姥奶奶家了我真的崩溃了,-1
咳嗽一下，飞机颤抖！,-1
新年快乐，梦想成真！,1
@小圆熊饼干我们是湖北中医药大学学生，省中医院是我们的附属医院，中医很卑微，虽然光谷院区是定点医院真的没有很多人关注我们，所以我们在想办法对接厂家直接发到省中医，可我们今天找到的几个厂家要么没货了，要么物资进武汉会被拦下，很灰心，但是也会继续,-1
《贾乃亮复工拍戏状态佳，网友喊话：一定要拿回甜馨抚养权》O贾乃亮复工拍戏状态佳，网友喊话：一定要拿回甜馨抚养权,1
#共同战疫##湖北首次将临床诊断病例数纳入新增数据##湖北新增14840例新冠肺炎#@丁香园：临床诊断病例＝疑似病例+影像学检查。不再需要核酸检测。但这样可能会把其他病毒肺炎也包括进来。非常时刻，宁错勿漏。,0
#湖南肺炎#为什么湖南冲到前三了，微博上关于湖南的还是很少？具体数据什么的都不清楚？？？求求大家了！看看湖南吧！#湖南新增5例新型肺炎确诊病例#,-1
我讨厌自家NH自家搞阴谋论，抱团姐妹莫挨我，我跟谁都玩万一我和你讨厌的姐妹玩上你NH我怎么办所以抱团的赶紧双我,-1
心态真的太重要了最近心态真的太差了大年三十开始难受鼻塞无力没有食欲大年初一去医院抽血医生说普通感冒开了点药最近几天感冒好了点可是乏力食欲不振头疼还有点呼吸困难的感觉还偶尔干咳还有点拉肚子我很方13号从昆明去丽江玩了好几天今天又到医院抽了血拍了CT医生说没事,-1
#说什么也不愿意戴口罩的固执长辈#怎么办我家就有这样的长辈说我们小题大做还说这些都没关系的非典的时候还被隔离过根本不用怕劝他们戴口罩也不听今天吃晚饭还来了一个因为咳嗽在医院挂盐水的阿姨哎叫她别来了非要来还因为这件事跟家里吵架了说是过年总不能让她不来吧就是,-1
好消息，治好出院的越来越多了，虽然还没有特效药，可能有些人的症状比较轻。同样的病毒，每个人的体质不一样，所以有轻有重。希望不要再有医务人员感染，这个对降低恐慌，有太大帮助了！,-1
#新冠肺炎是自限性疾病#能不能不要再宣传这种了，多少人看着新闻就松懈了，如果还有心就多宣传一下怎么防治，哪怕多说一次一定不能放松警惕，要勤洗手！那么多患者得不到治疗，那么多医护人员感染了危重了去世了！今天全国还在从各地调医护人员去湖北，百姓的命不是命啊？,-1
孝感，大悟县。革命老区，物资急缺。去捐赠求购。有渠道的，急救。@央视新闻@飞象网项立刚@人民日报@妇产刘医生@凯雷@雷希颖@赖艺LEON#武汉加油##抗击新型肺炎第一线#,1
张柏芝斥偷拍张柏芝带三个儿子去游乐园时有名男士偷拍其儿子样貌，武汉8名不明原因肺炎患者治愈出院张柏芝反手打了贴纸的男子头像放网上。支持张柏芝的做法，反对偷拍！,0
#重庆市长#武汉封城以前高铁进城你没得法现在你也不封闭进城高速也不宣传防范国庆节一天要收几天短信现在一条短信都不发了？你一天要干啥子？？？2重庆,-1
下降了,0
陶勇有黑暗的地方一定也有光。EVERYTHINGWILLBEFINEATTHEEND.@北京眼科医生陶勇,1
这档节目有爱心,1
全程录像：外科医生超市买菜，看他如何做到避免交叉感染，注意鞋底喷酒精！！（新闻夜航）#南京买烤鸭传染者活动轨迹#,0
好多公司复工时间都延迟到24号，而我们学校就牛逼了，全体教职工22号正常上班，然而学生并不开学，不知道让几千个教职工去干啥呢？难不成又是开会？疫情当前领导的思维无法理解,-1
『上海药物所：双黄连可抑制新冠病毒一文内容无误_手机新浪网』O上海药物所：双黄连可抑制新冠病毒一文内容无误,0
之前骂武汉全世界乱跑骂那些封城时潜逃到各地的现在风向转为你们有权离开武汉,-1
致敬,1
我崇拜中国军人，他们是安全感的代名词，如今，多了白衣战士们。香港风波给我们上了一趟很好的爱国主义课；武汉肺炎让我们见识到了中国精神，一方有难，八方支援。也认识了小日本的不一样，山川异域，风月同天，岂曰无衣，与子同裳。愿山河无恙，人间皆安，待到春暖花开时，万米蓝天共览大好河山。,1
【￥39】自然之名-酵母水300ML一大瓶是300ML的！到手只要39！！便宜大碗，不管是湿敷，还是做肌肤的二次清洁都不心疼~并且不挑肤质的！！挺适合干皮的！！可以细致毛孔、平衡水油的！而且还跟大牌护肤同样成分内含的二裂酵母是和小黑瓶一样的成分，清酒酵母是和神仙水同成分！而且是无添加√，√无,0
