0,0,路况,84.0,2.3
1,1,规划署,72.0,3.5
2,2,绿发会,60.0,4.7
3,3,通行,48.0,6.4
4,4,蛙,48.0,1.6
5,5,精心,44.0,16.0
6,6,嘉羿,40.0,9.0
7,7,日行,40.0,2.3
8,8,保暖,36.0,5.2
9,9,保卫,36.0,2.3
10,10,出入口,32.0,7.0
11,11,严禁,32.0,5.8
12,12,服务区,32.0,4.7
13,13,收费站,28.0,3.1
14,14,绿色,28.0,2.5
15,15,券后,28.0,2.3
16,15,召,28.0,2.3
17,15,绕城,28.0,2.3
18,15,朝晖,28.0,2.3
19,16,援鄂,24.0,36.0
20,17,华西,24.0,20.0
21,18,即日起,24.0,13.0
22,19,净化,24.0,9.0
23,20,太极拳,24.0,8.0
24,21,Ⅰ,24.0,7.0
25,22,肌肤,24.0,5.8
26,23,感悟,24.0,2.7
27,24,糖,24.0,1.2
28,24,现将,24.0,1.2
29,25,烊,20.0,148.0
30,26,徐坤,20.0,108.0
31,27,捐献,20.0,24.0
32,28,委员,20.0,13.0
33,29,抽奖,20.0,10.0
34,30,收藏,20.0,9.0
35,31,印发,20.0,7.0
36,32,环保,20.0,6.1
37,33,⑤,20.0,4.7
38,34,元券,20.0,2.7
39,34,专享,20.0,2.7
40,34,领券,20.0,2.7
41,35,☆,20.0,2.3
42,35,分泌物,20.0,2.3
43,36,评估,20.0,1.2
44,36,东站,20.0,1.2
45,37,TFBOYS,16.0,144.0
46,38,千玺,16.0,136.0
47,39,点赞,16.0,76.0
48,40,集结,16.0,40.0
49,41,山东省,16.0,32.0
50,42,连降,16.0,28.0
51,43,周年,16.0,13.0
52,43,创建,16.0,13.0
53,44,我省,16.0,10.0
54,44,医学科,16.0,10.0
55,45,就业,16.0,9.0
56,46,早安,16.0,8.0
57,46,名新冠,16.0,8.0
58,47,江西省,16.0,7.0
59,48,另行,16.0,5.8
60,48,降雪,16.0,5.8
61,49,￥,16.0,3.9
62,50,共和国,16.0,3.7
63,51,联合国,16.0,3.0
64,52,渝,16.0,2.3
65,52,包邮,16.0,2.3
66,52,焦雅辉,16.0,2.3
67,52,合租,16.0,2.3
68,53,限时,16.0,2.0
69,54,④,16.0,1.9
70,55,贸易,16.0,1.6
71,56,读书,16.0,1.5
72,57,饮用,16.0,1.2
73,57,童,16.0,1.2
74,57,春季,16.0,1.2
75,57,适量,16.0,1.2
76,57,寻人,16.0,1.2
77,58,止咳,16.0,-1.7
78,59,净化器,16.0,-1.8
79,60,队员,15.0,36.0
80,61,指南,15.0,9.0
81,62,臃肿,15.0,1.2
82,62,配方,15.0,1.2
83,62,办公厅,15.0,1.2
84,63,辆,14.0,32.0
85,64,基金,14.0,28.0
86,65,共抗,14.0,24.0
87,66,支队,14.0,20.0
88,67,务必,14.0,12.0
89,68,年度,14.0,10.0
90,69,三大,14.0,5.8
91,69,常常,14.0,5.8
92,70,长沙市,14.0,4.7
93,71,联盟,14.0,4.2
94,72,育儿,14.0,3.5
95,72,原料,14.0,3.5
96,73,甘草,14.0,2.3
97,73,新人,14.0,2.3
98,73,参照,14.0,2.3
99,73,壮族,14.0,2.3
100,74,近距离,14.0,1.2
101,74,零时,14.0,1.2
102,75,援,13.0,32.0
103,76,部署,13.0,15.0
104,77,转运,13.0,14.0
105,78,团委,13.0,12.0
106,79,手绘,13.0,10.0
107,80,医科,13.0,9.0
108,80,保定,13.0,9.0
109,81,解读,13.0,5.4
110,82,保留,13.0,4.7
111,83,③,13.0,1.6
112,84,茶,13.0,-1.0
113,85,获,12.0,28.0
114,86,高新区,12.0,16.0
115,86,影像,12.0,16.0
116,87,六,12.0,10.0
117,87,请战,12.0,10.0
118,88,国务院,12.0,7.0
119,89,应用,12.0,6.6
120,90,青海省,12.0,6.4
121,91,省政府,12.0,5.8
122,91,我县,12.0,5.8
123,91,海河,12.0,5.8
124,92,宿州,12.0,4.7
125,93,围观,12.0,3.5
126,93,体,12.0,3.5
127,94,要点,12.0,2.9
128,94,扬州,12.0,2.9
129,95,车主,12.0,2.3
130,95,不妨,12.0,2.3
131,96,机理,12.0,1.2
132,96,专列,12.0,1.2
133,96,送花,12.0,1.2
134,97,公路,12.0,1.0
135,98,地球,12.0,-1.3
136,99,金银花,12.0,-2.9
137,100,队长,11.0,24.0
138,100,连日来,11.0,24.0
139,101,中方,11.0,16.0
140,102,科技部,11.0,14.0
141,103,专题,11.0,13.0
142,104,可贵,11.0,10.0
143,105,短时间,11.0,9.0
144,106,李兰娟,11.0,6.2
145,107,高级别,11.0,5.5
146,108,冬春季,11.0,4.7
147,109,动态,11.0,3.5
148,109,种草,11.0,3.5
149,109,妹子,11.0,3.5
150,109,运势,11.0,3.5
151,109,淮北,11.0,3.5
152,109,有望,11.0,3.5
153,110,赠,11.0,2.3
154,110,出站,11.0,2.3
155,111,WHO,11.0,2.0
156,112,第四版,11.0,1.7
157,112,险,11.0,1.7
158,113,兰州市,11.0,1.2
159,113,签字,11.0,1.2
160,113,采样,11.0,1.2
161,114,丁香,11.0,-1.2
162,115,急寻,11.0,-2.1
163,116,齐心,10.0,52.0
164,117,运送,10.0,20.0
165,117,亚洲,10.0,20.0
166,117,摄影,10.0,20.0
167,118,一同,10.0,12.0
168,118,畅通,10.0,12.0
169,119,一封信,10.0,10.0
170,120,指引,10.0,4.7
171,120,详情,10.0,4.7
172,121,卫健委医政,10.0,4.0
173,122,解析,10.0,3.5
174,122,餐具,10.0,3.5
175,122,赠送,10.0,3.5
176,122,朱,10.0,3.5
177,123,华为,10.0,3.1
178,124,德塞,10.0,2.9
179,125,佩戴,10.0,2.6
180,126,北,10.0,2.3
181,126,衣物,10.0,2.3
182,126,液,10.0,2.3
183,126,教学楼,10.0,2.3
184,126,祛,10.0,2.3
185,126,武术,10.0,2.3
186,126,券,10.0,2.3
187,127,淄博,10.0,1.7
188,127,刘海,10.0,1.7
189,128,组成员,10.0,1.6
190,129,时至,10.0,1.4
191,130,★,10.0,1.2
192,130,干燥,10.0,1.2
193,130,玫瑰花,10.0,1.2
194,130,招募,10.0,1.2
195,130,鉴于,10.0,1.2
196,130,葫芦岛,10.0,1.2
197,131,万众,9.0,60.0
198,131,同舟,9.0,60.0
199,132,协力,9.0,52.0
200,133,风雨,9.0,48.0
201,134,蔡,9.0,40.0
202,135,充实,9.0,20.0
203,136,警务,9.0,16.0
204,136,攻坚,9.0,16.0
205,137,填写,9.0,9.0
206,138,礼包,9.0,8.0
207,138,阻断,9.0,8.0
208,139,切实,9.0,7.0
209,139,中建,9.0,7.0
210,139,疏导,9.0,7.0
211,140,达芦,9.0,5.8
212,140,原则上,9.0,5.8
213,140,收益,9.0,5.8
214,141,应急,9.0,5.6
215,142,二合一,9.0,4.7
216,142,栋,9.0,4.7
217,142,搭配,9.0,4.7
218,143,正品,9.0,3.5
219,143,徐州市,9.0,3.5
220,143,附,9.0,3.5
221,143,大连市,9.0,3.5
222,144,实施,9.0,2.8
223,145,副组长,9.0,2.3
224,145,经济学,9.0,2.3
225,145,借鉴,9.0,2.3
226,145,同比,9.0,2.3
227,146,实时,9.0,1.9
228,147,条例,9.0,1.6
229,148,漂浮,9.0,1.2
230,148,将军,9.0,1.2
231,148,关切,9.0,1.2
232,148,第五版,9.0,1.2
233,148,湘,9.0,1.2
234,148,袁国勇,9.0,1.2
235,148,您好,9.0,1.2
236,148,后退,9.0,1.2
237,148,标本,9.0,1.2
238,148,34.9,9.0,1.2
239,148,衣柜,9.0,1.2
240,149,郑州市,9.0,-1.7
241,150,比心,8.0,52.0
242,151,出征,8.0,36.0
243,152,文艺,8.0,28.0
244,153,疫,8.0,24.0
245,153,合唱,8.0,24.0
246,153,军事,8.0,24.0
247,153,守望,8.0,24.0
248,153,R1SE,8.0,24.0
249,154,护,8.0,20.0
250,155,送上,8.0,16.0
251,156,5G,8.0,15.0
252,157,魅力,8.0,13.0
253,158,一封,8.0,12.0
254,159,短片,8.0,10.0
255,160,建立,8.0,9.0
256,160,嗓,8.0,9.0
257,160,海口市,8.0,9.0
258,161,节,8.0,8.0
259,161,邪,8.0,8.0
260,161,实用,8.0,8.0
261,162,举措,8.0,7.0
262,163,开放,8.0,6.4
263,164,独家,8.0,5.8
264,164,须,8.0,5.8
265,165,委,8.0,5.0
266,166,一所,8.0,4.7
267,166,大海,8.0,4.7
268,166,宾馆,8.0,4.7
269,166,肺科,8.0,4.7
270,166,司长,8.0,4.7
271,166,金华,8.0,4.7
272,167,民生,8.0,4.0
273,168,专家组,8.0,3.7
274,169,淮南,8.0,3.5
275,169,十一,8.0,3.5
276,169,快讯,8.0,3.5
277,170,实行,8.0,3.3
278,171,学院,8.0,3.2
279,172,响应,8.0,3.1
280,173,周知,8.0,2.8
281,174,精选,8.0,2.7
282,174,处方,8.0,2.7
283,174,浙江省,8.0,2.7
284,175,点击,8.0,2.6
285,176,入口,8.0,2.5
286,177,配备,8.0,2.3
287,177,处罚法,8.0,2.3
288,177,第六,8.0,2.3
289,177,九江,8.0,2.3
290,177,宫,8.0,2.3
291,177,梅州,8.0,2.3
292,177,平方米,8.0,2.3
293,178,指挥部,8.0,1.9
294,178,突发,8.0,1.9
295,179,冰糖,8.0,1.7
296,179,衡阳,8.0,1.7
297,180,清热,8.0,1.5
298,180,官微,8.0,1.5
299,181,防治法,8.0,1.3
300,182,收养,8.0,1.2
301,182,人际,8.0,1.2
302,182,孤独感,8.0,1.2
303,182,岩松,8.0,1.2
304,182,投资者,8.0,1.2
305,182,痔疮,8.0,1.2
306,182,漱口水,8.0,1.2
307,182,听力,8.0,1.2
308,182,劵,8.0,1.2
309,183,患儿,8.0,-1.3
310,184,地坛,8.0,-1.7
311,185,张艺兴,7.0,132.0
312,186,胜利,7.0,68.0
313,187,正能量,7.0,44.0
314,188,第二批,7.0,20.0
315,189,全力,7.0,15.0
316,190,补助,7.0,9.0
